date,port,species,weight_kg,price_per_kg_usd
2024-01-01,Castries,snapper,67.8,9.27
2024-01-01,Castries,lobster,30.0,30.5
2024-01-01,Castries,kingfish,44.1,12.11
2024-01-01,Castries,mahi mahi,76.4,10.83
2024-01-01,Castries,lionfish,8.7,4.69
2024-01-01,Castries,tuna,94.2,15.19
2024-01-01,Soufriere,snapper,106.1,8.46
2024-01-01,Soufriere,lobster,26.7,31.93
2024-01-01,Soufriere,kingfish,70.8,10.2
2024-01-01,Soufriere,mahi mahi,72.8,11.57
2024-01-01,Soufriere,lionfish,12.4,6.88
2024-01-01,Soufriere,tuna,104.0,14.37
2024-01-01,Kingstown,snapper,100.2,9.78
2024-01-01,Kingstown,lobster,26.2,29.78
2024-01-01,Kingstown,kingfish,83.7,10.81
2024-01-01,Kingstown,mahi mahi,75.4,12.44
2024-01-01,Kingstown,lionfish,10.6,5.61
2024-01-01,Kingstown,tuna,146.9,15.3
2024-01-01,Saint George's,snapper,70.1,9.07
2024-01-01,Saint George's,lobster,22.3,28.47
2024-01-01,Saint George's,kingfish,60.0,12.52
2024-01-01,Saint George's,mahi mahi,73.8,13.47
2024-01-01,Saint George's,lionfish,9.5,6.14
2024-01-01,Saint George's,tuna,111.8,14.09
2024-01-01,Roseau,snapper,107.9,9.57
2024-01-01,Roseau,lobster,26.7,28.65
2024-01-01,Roseau,kingfish,53.4,10.98
2024-01-01,Roseau,mahi mahi,66.7,10.47
2024-01-01,Roseau,lionfish,7.8,6.81
2024-01-01,Roseau,tuna,115.6,13.41
2024-01-01,Saint John's,snapper,97.9,9.49
2024-01-01,Saint John's,lobster,28.7,29.57
2024-01-01,Saint John's,kingfish,73.8,11.85
2024-01-01,Saint John's,mahi mahi,96.5,13.01
2024-01-01,Saint John's,lionfish,12.6,5.55
2024-01-01,Saint John's,tuna,102.5,13.41
2024-01-02,Castries,snapper,91.2,9.21
2024-01-02,Castries,lobster,37.0,31.35
2024-01-02,Castries,kingfish,59.8,11.39
2024-01-02,Castries,mahi mahi,57.4,11.32
2024-01-02,Castries,lionfish,9.4,6.13
2024-01-02,Castries,tuna,98.2,13.23
2024-01-02,Soufriere,snapper,89.5,7.13
2024-01-02,Soufriere,lobster,29.4,30.45
2024-01-02,Soufriere,kingfish,74.8,9.82
2024-01-02,Soufriere,mahi mahi,68.5,9.94
2024-01-02,Soufriere,lionfish,15.2,5.79
2024-01-02,Soufriere,tuna,114.7,12.46
2024-01-02,Kingstown,snapper,85.1,8.36
2024-01-02,Kingstown,lobster,22.5,28.79
2024-01-02,Kingstown,kingfish,48.2,10.09
2024-01-02,Kingstown,mahi mahi,48.0,13.27
2024-01-02,Kingstown,lionfish,11.8,6.06
2024-01-02,Kingstown,tuna,111.0,13.67
2024-01-02,Saint George's,snapper,86.6,9.43
2024-01-02,Saint George's,lobster,27.6,31.14
2024-01-02,Saint George's,kingfish,55.9,12.02
2024-01-02,Saint George's,mahi mahi,59.5,12.16
2024-01-02,Saint George's,lionfish,13.3,7.18
2024-01-02,Saint George's,tuna,136.6,12.91
2024-01-02,Roseau,snapper,76.2,10.42
2024-01-02,Roseau,lobster,27.0,28.38
2024-01-02,Roseau,kingfish,71.7,11.47
2024-01-02,Roseau,mahi mahi,55.4,11.3
2024-01-02,Roseau,lionfish,14.7,5.44
2024-01-02,Roseau,tuna,95.3,13.47
2024-01-02,Saint John's,snapper,111.0,7.24
2024-01-02,Saint John's,lobster,31.2,29.92
2024-01-02,Saint John's,kingfish,63.1,11.51
2024-01-02,Saint John's,mahi mahi,72.4,12.37
2024-01-02,Saint John's,lionfish,12.6,7.19
2024-01-02,Saint John's,tuna,57.1,13.69
2024-01-03,Castries,snapper,88.7,7.54
2024-01-03,Castries,lobster,37.3,30.39
2024-01-03,Castries,kingfish,38.9,10.64
2024-01-03,Castries,mahi mahi,83.9,12.03
2024-01-03,Castries,lionfish,10.1,6.53
2024-01-03,Castries,tuna,115.5,13.06
2024-01-03,Soufriere,snapper,85.2,10.23
2024-01-03,Soufriere,lobster,36.7,29.04
2024-01-03,Soufriere,kingfish,52.3,12.34
2024-01-03,Soufriere,mahi mahi,83.3,12.03
2024-01-03,Soufriere,lionfish,11.2,6.18
2024-01-03,Soufriere,tuna,129.5,11.71
2024-01-03,Kingstown,snapper,104.9,8.1
2024-01-03,Kingstown,lobster,22.3,29.35
2024-01-03,Kingstown,kingfish,47.1,10.01
2024-01-03,Kingstown,mahi mahi,75.6,11.58
2024-01-03,Kingstown,lionfish,14.3,4.49
2024-01-03,Kingstown,tuna,127.0,12.82
2024-01-03,Saint George's,snapper,92.9,8.68
2024-01-03,Saint George's,lobster,35.5,28.77
2024-01-03,Saint George's,kingfish,61.0,12.54
2024-01-03,Saint George's,mahi mahi,93.9,11.76
2024-01-03,Saint George's,lionfish,13.8,7.09
2024-01-03,Saint George's,tuna,121.8,15.21
2024-01-03,Roseau,snapper,108.3,6.84
2024-01-03,Roseau,lobster,34.1,33.56
2024-01-03,Roseau,kingfish,56.3,10.76
2024-01-03,Roseau,mahi mahi,76.6,11.27
2024-01-03,Roseau,lionfish,11.4,5.96
2024-01-03,Roseau,tuna,154.7,13.82
2024-01-03,Saint John's,snapper,101.1,8.86
2024-01-03,Saint John's,lobster,24.8,29.4
2024-01-03,Saint John's,kingfish,47.3,12.41
2024-01-03,Saint John's,mahi mahi,72.1,10.61
2024-01-03,Saint John's,lionfish,12.1,8.08
2024-01-03,Saint John's,tuna,116.8,14.01
2024-01-04,Castries,snapper,95.9,8.66
2024-01-04,Castries,lobster,24.1,31.34
2024-01-04,Castries,kingfish,20.9,10.51
2024-01-04,Castries,mahi mahi,62.2,11.82
2024-01-04,Castries,lionfish,10.3,7.16
2024-01-04,Castries,tuna,145.0,14.18
2024-01-04,Soufriere,snapper,67.9,8.3
2024-01-04,Soufriere,lobster,28.0,29.14
2024-01-04,Soufriere,kingfish,45.5,12.76
2024-01-04,Soufriere,mahi mahi,89.4,11.06
2024-01-04,Soufriere,lionfish,10.0,6.09
2024-01-04,Soufriere,tuna,95.9,14.59
2024-01-04,Kingstown,snapper,104.5,9.06
2024-01-04,Kingstown,lobster,24.6,29.71
2024-01-04,Kingstown,kingfish,40.6,10.65
2024-01-04,Kingstown,mahi mahi,102.1,11.46
2024-01-04,Kingstown,lionfish,13.7,7.21
2024-01-04,Kingstown,tuna,145.5,12.69
2024-01-04,Saint George's,snapper,86.5,8.45
2024-01-04,Saint George's,lobster,38.2,31.1
2024-01-04,Saint George's,kingfish,47.5,10.46
2024-01-04,Saint George's,mahi mahi,80.5,14.06
2024-01-04,Saint George's,lionfish,11.1,7.23
2024-01-04,Saint George's,tuna,91.8,12.79
2024-01-04,Roseau,snapper,104.9,8.23
2024-01-04,Roseau,lobster,20.7,31.25
2024-01-04,Roseau,kingfish,67.3,9.73
2024-01-04,Roseau,mahi mahi,87.9,12.43
2024-01-04,Roseau,lionfish,13.3,4.94
2024-01-04,Roseau,tuna,100.9,11.87
2024-01-04,Saint John's,snapper,51.7,9.8
2024-01-04,Saint John's,lobster,27.2,30.21
2024-01-04,Saint John's,kingfish,57.3,10.47
2024-01-04,Saint John's,mahi mahi,67.3,12.49
2024-01-04,Saint John's,lionfish,11.4,4.46
2024-01-04,Saint John's,tuna,134.6,15.39
2024-01-05,Castries,snapper,103.7,10.48
2024-01-05,Castries,lobster,31.1,30.02
2024-01-05,Castries,kingfish,73.5,11.54
2024-01-05,Castries,mahi mahi,57.2,11.82
2024-01-05,Castries,lionfish,12.2,8.18
2024-01-05,Castries,tuna,111.0,13.23
2024-01-05,Soufriere,snapper,70.5,8.83
2024-01-05,Soufriere,lobster,26.1,29.87
2024-01-05,Soufriere,kingfish,47.8,9.38
2024-01-05,Soufriere,mahi mahi,70.6,12.33
2024-01-05,Soufriere,lionfish,12.2,4.46
2024-01-05,Soufriere,tuna,103.0,14.77
2024-01-05,Kingstown,snapper,94.8,8.34
