date,parish,reason,visits
2024-01-01,Saint Andrew,dengue_suspect,2
2024-01-01,Saint Andrew,hypertension,21
2024-01-01,Saint Andrew,diabetes,8
2024-01-01,Saint Andrew,prenatal,8
2024-01-01,Saint Andrew,injury,7
2024-01-01,Saint Catherine,dengue_suspect,2
2024-01-01,Saint Catherine,hypertension,17
2024-01-01,Saint Catherine,diabetes,14
2024-01-01,Saint Catherine,prenatal,7
2024-01-01,Saint Catherine,injury,9
2024-01-01,Saint James,dengue_suspect,0
2024-01-01,Saint James,hypertension,18
2024-01-01,Saint James,diabetes,19
2024-01-01,Saint James,prenatal,12
2024-01-01,Saint James,injury,12
2024-01-01,Kingston,dengue_suspect,1
2024-01-01,Kingston,hypertension,18
2024-01-01,Kingston,diabetes,12
2024-01-01,Kingston,prenatal,2
2024-01-01,Kingston,injury,10
2024-01-01,Manchester,dengue_suspect,1
2024-01-01,Manchester,hypertension,16
2024-01-01,Manchester,diabetes,11
2024-01-01,Manchester,prenatal,5
2024-01-01,Manchester,injury,8
2024-01-02,Saint Andrew,dengue_suspect,6
2024-01-02,Saint Andrew,hypertension,20
2024-01-02,Saint Andrew,diabetes,10
2024-01-02,Saint Andrew,prenatal,16
2024-01-02,Saint Andrew,injury,10
2024-01-02,Saint Catherine,dengue_suspect,3
2024-01-02,Saint Catherine,hypertension,18
2024-01-02,Saint Catherine,diabetes,10
2024-01-02,Saint Catherine,prenatal,7
2024-01-02,Saint Catherine,injury,10
2024-01-02,Saint James,dengue_suspect,3
2024-01-02,Saint James,hypertension,23
2024-01-02,Saint James,diabetes,11
2024-01-02,Saint James,prenatal,5
2024-01-02,Saint James,injury,4
2024-01-02,Kingston,dengue_suspect,1
2024-01-02,Kingston,hypertension,18
2024-01-02,Kingston,diabetes,17
2024-01-02,Kingston,prenatal,10
2024-01-02,Kingston,injury,13
2024-01-02,Manchester,dengue_suspect,1
2024-01-02,Manchester,hypertension,15
2024-01-02,Manchester,diabetes,18
2024-01-02,Manchester,prenatal,8
2024-01-02,Manchester,injury,10
2024-01-03,Saint Andrew,dengue_suspect,0
2024-01-03,Saint Andrew,hypertension,21
2024-01-03,Saint Andrew,diabetes,11
2024-01-03,Saint Andrew,prenatal,8
2024-01-03,Saint Andrew,injury,6
2024-01-03,Saint Catherine,dengue_suspect,1
2024-01-03,Saint Catherine,hypertension,15
2024-01-03,Saint Catherine,diabetes,12
2024-01-03,Saint Catherine,prenatal,8
2024-01-03,Saint Catherine,injury,9
2024-01-03,Saint James,dengue_suspect,1
2024-01-03,Saint James,hypertension,17
2024-01-03,Saint James,diabetes,18
2024-01-03,Saint James,prenatal,4
2024-01-03,Saint James,injury,6
2024-01-03,Kingston,dengue_suspect,2
2024-01-03,Kingston,hypertension,24
2024-01-03,Kingston,diabetes,12
2024-01-03,Kingston,prenatal,2
2024-01-03,Kingston,injury,11
2024-01-03,Manchester,dengue_suspect,2
2024-01-03,Manchester,hypertension,13
2024-01-03,Manchester,diabetes,10
2024-01-03,Manchester,prenatal,7
2024-01-03,Manchester,injury,12
2024-01-04,Saint Andrew,dengue_suspect,1
2024-01-04,Saint Andrew,hypertension,21
2024-01-04,Saint Andrew,diabetes,15
2024-01-04,Saint Andrew,prenatal,9
2024-01-04,Saint Andrew,injury,9
2024-01-04,Saint Catherine,dengue_suspect,5
2024-01-04,Saint Catherine,hypertension,15
2024-01-04,Saint Catherine,diabetes,18
2024-01-04,Saint Catherine,prenatal,5
2024-01-04,Saint Catherine,injury,14
2024-01-04,Saint James,dengue_suspect,2
2024-01-04,Saint James,hypertension,20
2024-01-04,Saint James,diabetes,14
2024-01-04,Saint James,prenatal,8
2024-01-04,Saint James,injury,10
2024-01-04,Kingston,dengue_suspect,5
2024-01-04,Kingston,hypertension,12
2024-01-04,Kingston,diabetes,6
2024-01-04,Kingston,prenatal,3
2024-01-04,Kingston,injury,11
2024-01-04,Manchester,dengue_suspect,6
2024-01-04,Manchester,hypertension,18
2024-01-04,Manchester,diabetes,13
2024-01-04,Manchester,prenatal,4
2024-01-04,Manchester,injury,13
2024-01-05,Saint Andrew,dengue_suspect,0
2024-01-05,Saint Andrew,hypertension,13
2024-01-05,Saint Andrew,diabetes,18
2024-01-05,Saint Andrew,prenatal,8
2024-01-05,Saint Andrew,injury,6
2024-01-05,Saint Catherine,dengue_suspect,5
2024-01-05,Saint Catherine,hypertension,17
2024-01-05,Saint Catherine,diabetes,20
2024-01-05,Saint Catherine,prenatal,8
2024-01-05,Saint Catherine,injury,6
2024-01-05,Saint James,dengue_suspect,0
2024-01-05,Saint James,hypertension,17
2024-01-05,Saint James,diabetes,12
2024-01-05,Saint James,prenatal,5
2024-01-05,Saint James,injury,12
2024-01-05,Kingston,dengue_suspect,1
2024-01-05,Kingston,hypertension,25
2024-01-05,Kingston,diabetes,16
2024-01-05,Kingston,prenatal,8
2024-01-05,Kingston,injury,11
2024-01-05,Manchester,dengue_suspect,0
2024-01-05,Manchester,hypertension,16
2024-01-05,Manchester,diabetes,19
2024-01-05,Manchester,prenatal,3
2024-01-05,Manchester,injury,8
2024-01-06,Saint Andrew,dengue_suspect,0
2024-01-06,Saint Andrew,hypertension,20
2024-01-06,Saint Andrew,diabetes,15
2024-01-06,Saint Andrew,prenatal,9
2024-01-06,Saint Andrew,injury,4
2024-01-06,Saint Catherine,dengue_suspect,1
2024-01-06,Saint Catherine,hypertension,25
2024-01-06,Saint Catherine,diabetes,31
2024-01-06,Saint Catherine,prenatal,10
2024-01-06,Saint Catherine,injury,11
2024-01-06,Saint James,dengue_suspect,3
2024-01-06,Saint James,hypertension,22
2024-01-06,Saint James,diabetes,11
2024-01-06,Saint James,prenatal,17
2024-01-06,Saint James,injury,14
2024-01-06,Kingston,dengue_suspect,0
2024-01-06,Kingston,hypertension,21
2024-01-06,Kingston,diabetes,20
2024-01-06,Kingston,prenatal,8
2024-01-06,Kingston,injury,9
2024-01-06,Manchester,dengue_suspect,1
2024-01-06,Manchester,hypertension,16
2024-01-06,Manchester,diabetes,20
2024-01-06,Manchester,prenatal,7
2024-01-06,Manchester,injury,7
