destination,lead_time_days,nights,guests,channel,rate_usd,is_cancelled
Castries,5,6,1,agent,328.42,0
Grand Cayman,82,3,3,expedia,366.72,0
Aruba,45,4,1,expedia,354.16,1
Punta Cana,49,6,2,expedia,239.56,0
Castries,12,5,1,expedia,269.75,0
Bridgetown,85,2,4,expedia,340.93,1
Nassau,11,6,3,direct,385.7,0
Montego Bay,65,4,1,booking,232.73,1
Negril,69,5,2,direct,190.06,0
San Juan,39,5,3,expedia,295.97,0
Negril,84,6,2,expedia,253.33,0
Grand Cayman,97,4,1,expedia,401.84,0
Punta Cana,55,4,3,direct,132.37,0
Castries,52,8,1,booking,236.54,0
Bridgetown,36,1,3,expedia,348.69,1
Montego Bay,33,1,1,booking,239.08,0
Punta Cana,12,5,1,booking,252.85,0
Bridgetown,16,4,2,agent,241.99,0
Montego Bay,84,2,1,booking,181.24,0
Punta Cana,47,7,2,direct,173.36,0
Bridgetown,23,1,3,direct,328.25,0
Aruba,67,3,3,expedia,276.12,0
Bridgetown,19,2,1,direct,369.18,1
Bridgetown,70,2,1,direct,226.11,0
Grand Cayman,103,5,3,direct,422.44,0
Aruba,26,1,2,expedia,297.9,0
Montego Bay,10,5,1,agent,248.28,0
Nassau,11,3,1,expedia,329.49,0
Grand Cayman,54,5,1,expedia,330.41,0
Montego Bay,117,2,3,direct,230.13,0
Bridgetown,12,3,2,booking,299.61,0
Castries,115,4,2,direct,278.55,0
San Juan,32,5,2,expedia,281.61,0
Montego Bay,55,5,1,booking,187.16,0
Grand Cayman,34,4,1,agent,370.87,1
Bridgetown,37,5,1,direct,337.45,0
Grand Cayman,104,4,1,booking,417.56,1
Aruba,46,3,1,booking,407.24,0
San Juan,22,5,2,direct,201.87,0
Aruba,56,4,2,booking,322.9,0
Bridgetown,9,5,1,booking,215.58,0
Nassau,119,2,1,booking,372.98,1
Bridgetown,106,2,3,expedia,252.64,0
Nassau,29,2,3,booking,364.83,0
Castries,46,3,2,expedia,291.21,0
Aruba,32,2,1,booking,376.71,0
San Juan,37,7,1,expedia,277.25,0
Nassau,36,4,2,direct,227.09,0
Montego Bay,59,7,3,booking,215.48,1
Negril,85,5,2,booking,95.64,0
Aruba,80,3,2,booking,286.36,0
Montego Bay,74,6,3,agent,229.15,0
Montego Bay,126,6,2,agent,250.73,1
Grand Cayman,23,6,1,booking,369.46,0
Grand Cayman,78,2,1,booking,457.36,0
Montego Bay,104,1,2,direct,176.43,0
Castries,113,2,1,booking,244.66,1
Negril,10,7,1,direct,164.6,0
Providenciales,12,6,3,direct,322.4,0
San Juan,183,5,3,agent,263.8,0
Castries,53,3,3,booking,189.93,0
Punta Cana,27,5,4,direct,237.33,0
Aruba,83,2,1,booking,330.54,1
Bridgetown,78,1,2,booking,268.1,0
Bridgetown,21,8,1,booking,337.77,0
San Juan,64,6,1,direct,245.84,0
Montego Bay,98,4,2,booking,272.41,1
San Juan,110,6,1,agent,231.47,0
Grand Cayman,35,7,2,expedia,300.4,1
Montego Bay,42,1,2,booking,200.7,0
Providenciales,26,4,1,direct,388.6,0
Punta Cana,64,5,3,booking,191.66,0
Nassau,31,5,3,direct,325.41,0
Negril,40,5,1,booking,209.27,1
Grand Cayman,19,6,2,direct,293.3,0
Providenciales,64,3,1,expedia,358.18,1
Providenciales,59,3,2,booking,379.39,0
Grand Cayman,11,5,2,direct,410.49,0
Aruba,76,4,1,booking,419.29,0
Aruba,152,5,2,agent,351.08,1
Providenciales,320,4,3,booking,351.85,0
Bridgetown,46,5,2,agent,244.75,0
Castries,12,4,2,expedia,248.58,0
Aruba,16,4,2,expedia,264.85,0
Grand Cayman,26,7,3,booking,434.23,0
Castries,60,6,1,booking,264.68,0
Punta Cana,27,6,2,expedia,130.48,1
Castries,173,5,1,expedia,205.11,0
Providenciales,36,5,4,direct,323.53,0
Bridgetown,28,9,1,expedia,220.88,1
Bridgetown,101,9,2,booking,299.38,1
Bridgetown,21,4,1,direct,314.51,0
Grand Cayman,20,7,3,booking,329.14,1
Castries,32,7,2,expedia,208.32,0
Punta Cana,111,3,1,booking,139.88,0
Nassau,22,7,3,booking,346.38,0
Providenciales,20,2,1,direct,307.31,0
San Juan,14,4,2,booking,326.95,0
Punta Cana,63,3,1,booking,167.84,0
San Juan,52,3,2,booking,186.54,0
Aruba,9,3,2,direct,331.65,1
Aruba,70,1,1,booking,307.9,1
Grand Cayman,46,6,1,booking,378.46,0
Aruba,12,5,2,expedia,365.95,1
Aruba,36,4,2,booking,272.98,0
Negril,141,8,2,booking,210.01,1
Providenciales,48,4,3,direct,360.24,0
Castries,51,2,1,booking,223.94,0
Bridgetown,19,7,2,agent,196.24,0
Providenciales,105,3,1,direct,394.12,0
Grand Cayman,278,2,2,booking,406.13,1
Grand Cayman,13,3,2,booking,404.26,1
Punta Cana,237,4,2,direct,217.76,0
Grand Cayman,29,5,2,expedia,318.36,0
Punta Cana,83,1,2,booking,159.85,1
Bridgetown,16,1,3,booking,336.79,0
Nassau,153,2,2,booking,268.08,0
Nassau,37,2,2,direct,292.5,0
Castries,60,7,3,agent,217.53,0
Bridgetown,111,8,1,direct,319.14,0
Montego Bay,82,2,2,direct,243.45,0
Montego Bay,75,5,1,direct,171.07,0
Bridgetown,33,3,2,agent,238.13,0
Providenciales,58,7,2,booking,338.08,0
Negril,35,5,2,booking,261.03,0
Bridgetown,46,4,3,expedia,346.27,0
Aruba,37,4,3,direct,280.63,0
Nassau,2,4,3,direct,311.98,0
Castries,51,2,1,direct,291.11,0
Castries,22,5,1,direct,324.46,0
Aruba,69,6,1,booking,338.81,0
Montego Bay,95,9,4,agent,234.03,0
Providenciales,37,4,1,direct,371.55,0
Aruba,10,3,2,direct,360.49,0
San Juan,38,6,1,booking,235.06,0
Montego Bay,31,3,3,direct,248.7,0
Punta Cana,122,5,3,booking,151.09,1
Castries,38,4,1,expedia,248.1,1
Grand Cayman,51,1,1,agent,302.97,1
Bridgetown,83,4,1,expedia,251.72,0
Punta Cana,15,2,3,direct,236.59,0
Negril,18,4,4,direct,157.59,0
Bridgetown,53,8,1,booking,243.05,0
Providenciales,71,5,1,booking,319.6,0
San Juan,27,2,1,agent,203.9,0
Castries,56,4,1,booking,275.74,1
Nassau,69,5,1,direct,253.57,0
Castries,50,6,2,direct,233.31,0
San Juan,70,5,3,agent,217.38,0
Aruba,52,5,1,direct,341.07,0
Castries,59,6,1,expedia,247.99,0
Punta Cana,104,7,3,agent,171.52,0
Bridgetown,47,3,2,direct,282.43,0
Grand Cayman,19,3,2,agent,438.74,0
Negril,21,5,3,agent,192.7,0
Negril,22,5,2,expedia,231.33,0
Punta Cana,82,3,1,booking,187.88,1
Montego Bay,69,6,1,booking,187.01,0
Aruba,53,7,1,booking,298.75,0
Bridgetown,95,4,3,expedia,240.16,0
Bridgetown,128,6,2,booking,294.06,0
Punta Cana,56,3,2,agent,203.26,0
Providenciales,149,3,3,direct,392.07,1
Castries,44,2,2,booking,239.31,0
Punta Cana,81,5,1,expedia,192.84,0
Nassau,66,4,2,direct,331.09,0
Nassau,81,4,3,direct,267.78,0
Punta Cana,22,5,3,booking,139.84,0
Punta Cana,107,6,3,booking,162.34,1
San Juan,127,3,2,booking,194.98,0
San Juan,18,3,3,expedia,225.08,0
Aruba,140,7,1,booking,361.16,0
Bridgetown,17,2,2,booking,265.04,0
Montego Bay,7,1,2,expedia,189.6,0
Bridgetown,112,2,3,direct,334.67,1
Punta Cana,31,2,1,booking,161.32,1
Grand Cayman,51,4,2,expedia,358.38,0
Grand Cayman,53,5,2,booking,347.56,0
Providenciales,66,4,3,direct,402.79,0
Negril,106,3,1,direct,244.58,0
Providenciales,6,3,1,agent,410.68,0
Bridgetown,37,5,4,direct,309.82,0
Nassau,93,8,2,booking,228.8,0
Nassau,17,6,2,booking,385.28,0
Grand Cayman,160,6,1,booking,403.45,0
