timestamp,site,ghi_w_m2,temperature_c,cloud_cover_pct
2025-01-01T06:00,Kingston,0,26.62,36.6
2025-01-01T06:00,Bridgetown,0,26.36,21.1
2025-01-01T06:00,Castries,31.9,26.95,54.8
2025-01-01T07:00,Kingston,176.4,27.44,41.0
2025-01-01T07:00,Bridgetown,183.7,26.55,43.7
2025-01-01T07:00,Castries,201.9,26.23,32.3
2025-01-01T08:00,Kingston,353.1,29.24,29.5
2025-01-01T08:00,Bridgetown,343.7,28.67,45.7
2025-01-01T08:00,Castries,351.6,28.02,37.6
2025-01-01T09:00,Kingston,622.3,28.14,33.0
2025-01-01T09:00,Bridgetown,639.6,27.9,5.0
2025-01-01T09:00,Castries,625.7,28.2,14.0
2025-01-01T10:00,Kingston,720.8,28.58,15.2
2025-01-01T10:00,Bridgetown,579.8,29.53,46.1
2025-01-01T10:00,Castries,605.5,27.88,57.6
2025-01-01T11:00,Kingston,739.7,30.46,27.5
2025-01-01T11:00,Bridgetown,722.5,30.92,28.4
2025-01-01T11:00,Castries,633.1,28.37,55.1
2025-01-01T12:00,Kingston,716.9,31.45,32.9
2025-01-01T12:00,Bridgetown,717.3,30.63,42.7
2025-01-01T12:00,Castries,662.1,30.44,46.0
2025-01-01T13:00,Kingston,628.8,30.71,40.3
2025-01-01T13:00,Bridgetown,685.7,30.25,41.7
2025-01-01T13:00,Castries,799.1,29.59,22.4
2025-01-01T14:00,Kingston,771.6,30.06,15.6
2025-01-01T14:00,Bridgetown,645.3,29.86,36.3
2025-01-01T14:00,Castries,572.5,30.47,58.1
2025-01-01T15:00,Kingston,537.7,29.01,25.2
2025-01-01T15:00,Bridgetown,501.5,28.24,42.2
2025-01-01T15:00,Castries,562.4,29.43,30.6
2025-01-01T16:00,Kingston,432.5,28.35,17.3
2025-01-01T16:00,Bridgetown,382.1,28.22,41.0
2025-01-01T16:00,Castries,298.0,27.34,62.1
2025-01-01T17:00,Kingston,199.1,26.29,39.7
2025-01-01T17:00,Bridgetown,191.0,26.24,42.9
2025-01-01T17:00,Castries,225.7,27.74,30.6
2025-01-01T18:00,Kingston,20.3,26.06,18.6
2025-01-01T18:00,Bridgetown,0,26.46,68.0
2025-01-01T18:00,Castries,29.1,25.99,11.3
2025-01-02T06:00,Kingston,0,25.9,26.8
2025-01-02T06:00,Bridgetown,15.5,25.66,26.4
2025-01-02T06:00,Castries,75.6,25.97,30.7
2025-01-02T07:00,Kingston,191.0,27.0,42.7
2025-01-02T07:00,Bridgetown,156.0,27.56,37.1
2025-01-02T07:00,Castries,191.7,26.24,38.7
2025-01-02T08:00,Kingston,303.6,27.94,49.4
2025-01-02T08:00,Bridgetown,359.0,29.09,24.5
2025-01-02T08:00,Castries,355.0,28.0,56.5
2025-01-02T09:00,Kingston,572.1,28.73,21.7
2025-01-02T09:00,Bridgetown,642.2,29.41,7.6
2025-01-02T09:00,Castries,529.2,28.78,25.5
2025-01-02T10:00,Kingston,685.6,29.75,38.2
2025-01-02T10:00,Bridgetown,719.9,28.6,19.5
